1 ; Wir müssen ehrenamtlicher Hilfe besser koordinieren! Die gelebte Willkommenskultur muss immer wieder gestärkt werden. 
0 ; Es handelt sich hierbei um eine Sondernutzung öffentlicher Infrastruktur. Wer diese gewerbsmäßig nutzen will, muss dafür leider eine Gebühr zahlen. Diese muss aber möglichst gering sein.
-1 ; Hunde sind sehr verschieden und müssen unterschiedlich behandelt werden. Es muss weiterhin bestimmte Freilaufzonen für Hunde geben!
0 ; Effizienzsteigerungen sind immer möglich, wir dürfen aber nicht am falschen Ende sparen.
1 ; Ja. Ausgrenzung darf in Bonn keine Chance haben!
0 ; Die Politik hat dem Wunsch der Eltern zu folgen! Sie bestimmen, welche Schulform gebraucht wird. 
-1 ; Wir werden das OGS-Angebot und Kita-Plätze bedarfsgerecht weiter ausbauen.
-1 ; Nein. Kultur ist kein Selbstzweck. Die Stadt muss eine bunte Kulturlandschaft fördern.
1 ; Inklusion ist wichtig, fängt aber in den Köpfen an. Deshalb muss man dort investieren, aber nicht unbedingt Geld, sondern Überzeugungsarbeit und Wertschätzung.
-1 ; Kultur ist ein hohes Gut und das Lächeln im Gesicht einer Stadt.
1 ; Behindertengerechte Angebote werden gestärkt. Als Sitz des paralympischen Komitees müssen wir Vorreiter sein.
1 ; Hier haben wir eine Chance vertan und müssen bis zum Beethovenjahr 2020 Alternativen finden.
0 ; Nicht nur aber auch! Bonn ist Bundesstadt, UN-Stadt, Wissenschafts- und Wirtschaftsstadt.
-1 ; Wer in die Innenstadt zieht muss im Rahmen geltenden Rechts Veranstaltungen zulassen.
1 ; Angebote von Investoren müssen geprüft werden. Für Gespräche stehe ich gerne zur Verfügung.
1 ; In Zusammenarbeit mit den vielen guten Bonner IT-Unternehmen muss sich hier eine Lösung finden!
1 ; Am Ennertbad sollte eine Schwimmhalle und im linksrheinischen Gebiet ein Kombibad gebaut werden, das sowohl aus Bonn als auch aus Bad Godesberg gut erreichbar ist. Bonn braucht kein Spaßbad, aber längere Öffnungszeiten!
1 ; Ja. Transparenz ist ein hohes Gut, das wir uns auf die Fahnen schreiben sollten.
-1 ; Ist leider in der derzeitigen wirtschaftlichen Situation nicht umsetzbar.
1 ; Wir haben bereits seit Jahren einen Klimaschutzplan und Bonn muss diesen endlich umsetzen!
0 ; Müllvermeidung ist eine Gesellschaftsaufgabe, die überall gegenwärtig sein muss. 
1 ; Dies muss in vielen Bereichen sein. Ich bringe diese Erfahrung als Kämmerer und Wirtschaftsförderer mit!
-1 ; Erneuerbare Energien  müssen gefördert werden. Der Klimawandel ist keine Geldfrage.
1 ; Wir brauchen endlich wieder ein schönes Eingangstor der Stadt! Hier müssen wir mit der Deutschen Bahn zusammenarbeiten und die Visitenkarte Bonns verbessern.
0 ; In das Viktoria-Karree gehören sowohl Geschäfte, als auch gastronomische Angebote für junge Erwachsene. Es muss sich zur Innenstadt hin öffnen.
0 ; Ich kann mir keine Autobahn durch Bonn vorstellen, aber wir müssen die Erreichbarkeit Bonns verbessern. Hierzu müssen alle Beteiligten und Betroffenen an einen Tisch!
-1 ; Privatisierungen sind kein Selbstzweck und müssen die Ausnahme bleiben. 
1 ; Gutes muss erhalten und saniert werden. Liegenschaften, die nicht mehr benötigt werden, müssen wir beispielsweise für Wohnbau veräußern.
1 ; Es kann nie genug kreative Köpfe in Bonn geben. Wir brauchen sie in allen Bereichen: IT, Kultur, Sport und Verwaltung!
1 ; Ja. Dringendst und zwar flächendeckend in allen Stadtbezirken!
0 ; Wir müssen Fahrradwege, ein Verleihsystem und Fahrradbusse aufbauen. Wir brauchen aber einen gesunden Verkehrsmix in Bonn mit Platz für ÖPNV, Fahrrad und Auto.
0 ; Wenn das Projekt wirtschaftlich und der Bürgerwille vorhanden ist, würde ich das befürworten. In Zürich klappt das.
1 ; Wir brauchen einen bedarfsgerechten ÖPNV, der auch die Region abdeckt.
-1 ; Beide Gruppen sollten gleichberechtigt behandelt werden!
1 ; Der begonnen Ausbau muss vorangetrieben werden - auch in verstärktem Maße mit dem Rhein-Sieg-Kreis
1 ; Behördendeutsch muss der Vergangenheit angehören. Durch verständliche Sprache erbringen wir Dienstleistungen für die Bürgerinnen und Bürger.
1 ; Bonner brauchen klare Zahlen und Fakten um mitzureden. BoRis muss aber einfacher zu finden sein. 
1 ; Wir müssen mehr Transparenz schaffen und Bürgerinnen und Bürger dadurch die Möglichkeit zur Mitwirkung geben.
1 ; Ein einfacher Weg zu mehr Transparenz! 
-1 ; Nein. Die UN und zahlreiche Bonner Verbände und Wissenschaftsorganisationen brauchen die Ansprechpartner aus der Bundesregierung hier vor Ort.
