"Zusammenleben";"Bonn muß sich stärker auf Flüchtlinge und Asylbewerber einstellen."
"Zusammenleben";"Die Gebühr für Außengastronomie ist im Sinne ein Open-Air-Kultur zu senken."
"Zusammenleben";"Überall in Bonn sollte für Hunde Leinenzwang herrschen."
"Zusammenleben";"Im Bereich Sozialhilfe und Hilfe zur Pflege können weitere Sparmaßnahmen die Haushaltslage verbessern."
"Zusammenleben";"Bonn muss aktiver gegen Rechtsextremismus, Islamfeindlichkeit und Homophobie vorgehen."
"Bildung";"Bonn braucht mehr Gesamtschulplätze für längeres gemeinsames Lernen."
"Bildung";"Bonn besitzt genügend Ganztagsplätze in Kitas und Schulen."
"Bildung";"Kulturelle Angebote müssen sich für die Stadt rentieren."
"Bildung";"Bonn sollte freiwillig über die zur Verfügung gestellten Landesmittel hinaus mehr in Inklusion investieren."
"Kultur";"Kultur ist angesichts der Haushaltslage ein Luxusgut. "
"Kultur";"Bonn sollte mehr geförderte und bezahlbare Freizeitangebote für behinderte Menschen anbieten."
"Kultur";"Ein Festspielhaus verleiht der Kulturlandschaft Bonns Gesicht, Ausdruck und Stimme."
"Kultur";"Bonn verbinde ich vor allem mit Beethoven, Hochkultur und klassischer Musik."
"Kultur";"Die Nachtruhe der Anwohner in der Innenstadt ist höher zu bewerten als der Anspruch auf Veranstaltungen."
"Wirtschaft und Energie";"Bonn darf keine Angst vor ambitionierten Investoren haben."
"Wirtschaft und Energie";"Bonn sollte sich für ein flächendeckendes, kostenloses WLAN (Freifunk) einsetzen."
"Wirtschaft und Energie";"Bonn braucht neue Kombibäder. "
"Wirtschaft und Energie";"Bonn sollte durch die freie Nutzbarkeit von städtischen Daten (Open Data) attraktiver für IT-Firmen werden."
"Wirtschaft und Energie";"Die Gewerbesteuer sollte gesenkt werden, um Unternehmen anzusiedeln."
"Natur und Umwelt";"Bonn soll einen Klimaschutzplan gemeinsam mit den Bürgern entwickeln und umsetzen."
"Natur und Umwelt";"Es sollte mehr Geld für Müllvermeidung ausgeben werden."
"Natur und Umwelt";"Bonn sollte unternehmerisch und wettbewerbsorientiert geführt werden."
"Natur und Umwelt";"Die Haushaltslage erlaubt keinen Umstieg auf erneuerbare Energien."
"Stadtentwicklung";"Die Sanierung des Hauptbahnhof sollte schnellstmöglich angegangen werden."
"Stadtentwicklung";"Das Viktoriakarree soll ein großes Einkaufszentrum werden, das ist wichtig für unsere Stadt."
"Stadtentwicklung";"Bonn braucht die Südtangente, also die Autobahn zwischen A565 und A3."
"Stadtentwicklung";"Die Stadt sollte vermehrt privatisieren, um neue Einnahmen zu generieren."
"Stadtentwicklung";"Angesichts der Haushaltslage ist es richtig, kommunale Liegenschaften zu verkaufen."
"Stadtentwicklung";"Die Stadt Bonn muss unter Kreativen für den Wohnort Bonn gezielt werben."
"Stadtentwicklung";"Bonn braucht mehr sozialen Wohnungsbau."
"Verkehr und Mobilität";"Bonn ist eine Fahrradstadt und sollte daher den motorisierten Individualverkehr nicht weiter begünstigen."
"Verkehr und Mobilität";"Bonn braucht eine Seilbahn zwischen der Museumsmeile und dem Venusberg."
"Verkehr und Mobilität";"Das werktägliche Angebot von Bus und Bahn muss in den Abend- und Nachtstunden für alle Zielgruppen erweitert werden."
"Verkehr und Mobilität";"Alle Busse sollten mit Hinweisen zur Vorrangigkeit von Rollstühlen gegenüber Kinderwagen ausgestattet sein."
"Verkehr und Mobilität";"Radwege in Bonn sollten weiter ausgebaut werden."
"Politik und Verwaltung";"Bonn sollte Bescheide und -anträge in vereinfachter Form und leichter Sprache anbieten. "
"Politik und Verwaltung";"Das Bonner Ratsinformationssystem (BoRIS) sollte im Sinne einer Transparenzkultur weiter ausgebaut werden."
"Politik und Verwaltung";"Bürgerbeteiligungsverfahren sind verbesserungswürdig."
"Politik und Verwaltung";"Die Sitzungen des Stadtrates sollten auch weiterhin im Internet übertragen werden."
"Politik und Verwaltung";"Die Bundesstadt Bonn sollte auf den Titel "Bundesstadt" verzichten und alle Ministerien nach Berlin ziehen lassen."
